Interlocut,Latitud,Longitud,Pedido,Real,T.Ruta,cluster
210347,-12.0541075,-77.0492426,6.640000000000001,6.640000000000001,R.Principal,21
210347,-12.05321,-77.04991,1.5,1.5,R.Principal,21
210347,-12.05404,-77.04937,5.0,5.0,R.Principal,21
210347,-12.0525055,-77.049135,33.875,33.875,R.Principal,0
210348,-12.0501316,-77.0954664,1.6500000000000001,1.6500000000000001,R.Principal,15
210348,-12.049551,-77.093312,12.42,12.42,R.Principal,15
210348,-12.052503,-77.093605,15.5,15.5,R.Principal,15
210348,-12.0492,-77.09353,12.475,12.475,R.Principal,15
210348,-12.05297,-77.09599,52.8,52.8,R.Principal,0
210348,-12.0518231,-77.0931721,2.28,2.28,R.Principal,15
210348,-12.0536425,-77.0997431,1.22,1.22,R.Principal,15
210348,-12.0497706,-77.0967219,2.02,2.02,R.Principal,15
210348,-12.0515803,-77.0931534,1.48,1.48,R.Principal,15
210348,-12.0537364,-77.1002674,5.4,5.4,R.Principal,15
210348,-12.07635,-77.11387,4.21,4.21,R.Principal,15
210348,-12.061576,-77.096944,11.68,11.68,R.Principal,15
210348,-12.056158,-77.090787,7.535,7.535,R.Principal,15
210348,-12.05452,-77.091644,1.44,1.44,R.Principal,15
210348,-12.053339,-77.093675,16.1,16.1,R.Principal,15
210348,-12.056266,-77.097098,5.680000000000001,5.680000000000001,R.Principal,15
210348,-12.05083,-77.0971,2.47,2.47,R.Principal,15
210348,-12.05595,-77.09573,2.12,2.12,R.Principal,15
210348,-12.055747,-77.091241,11.14,11.14,R.Principal,15
210348,-12.05317,-77.09358,3.0149999999999997,3.0149999999999997,R.Principal,15
210348,-12.056924,-77.094623,3.0,3.0,R.Principal,15
210348,-12.0522685,-77.0929629,4.74,4.74,R.Principal,15
210348,-12.05145,-77.09305,2.98,2.98,R.Principal,15
210348,-12.053393,-77.093671,9.8,9.8,R.Principal,15
210348,-12.0610019,-77.0943066,5.82,5.82,R.Principal,15
210348,-12.0539445,-77.089039,1.575,1.575,R.Principal,15
210348,-12.059275,-77.096111,4.735,4.735,R.Principal,15
210348,-12.056139,-77.095954,27.0,27.0,R.Principal,15
210348,-12.06046,-77.09495,2.04,2.04,R.Principal,15
210348,-12.05264,-77.08788,2.0200000000000005,2.0200000000000005,R.Principal,15
210348,-12.0614984,-77.0965886,8.94,8.94,R.Principal,15
210348,-12.061512,-77.09672,4.0,4.0,R.Principal,15
210348,-12.06142,-77.09658,2.6,2.6,R.Principal,15
210348,-12.05514,-77.0883,4.24,4.24,R.Principal,15
210348,-12.0531432,-77.0923405,2.9400000000000004,2.9400000000000004,R.Principal,15
210348,-12.0509052,-77.0962447,6.460000000000001,6.460000000000001,R.Principal,15
210349,-11.98892,-77.07507,7.500000000000001,7.500000000000001,R.Principal,9
210349,-11.94583,-77.07405,3.71,3.71,R.Principal,9
210349,-11.942875,-77.077598,18.419999999999998,18.419999999999998,R.Principal,9
210349,-11.93585,-77.0769,6.115,6.115,R.Principal,9
210349,-11.94469,-77.07766,9.74,9.74,R.Principal,9
210349,-11.94498,-77.0776,2.08,2.08,R.Principal,9
210349,-11.9376,-77.0742,3.0,3.0,R.Principal,9
210349,-11.93383,-77.07639,6.5,6.5,R.Principal,9
210349,-11.990664,-77.065702,14.76,14.76,R.Principal,9
210349,-11.944924,-77.07413,3.7800000000000002,3.7800000000000002,R.Principal,9
210349,-11.94317,-77.07441,1.33,1.33,R.Principal,9
210349,-11.9354765,-77.0774607,13.99,13.99,R.Principal,9
210349,-11.94645,-77.07411,18.04,18.04,R.Principal,9
210349,-11.934261,-77.078963,1.6199999999999999,1.6199999999999999,R.Principal,9
210349,-11.990194,-77.066784,19.894999999999996,19.894999999999996,R.Principal,9
210349,-11.99293,-77.06664,3.2,3.2,R.Principal,9
210349,-11.9358101,-77.0772403,5.28,5.28,R.Principal,9
210349,-11.936129,-77.077528,4.0,4.0,R.Principal,9
210349,-11.94348,-77.07244,3.425,3.425,R.Principal,9
210349,-11.994591,-77.065405,4.015,4.015,R.Principal,9
210349,-11.942688,-77.072828,0.375,0.375,R.Principal,9
210349,-11.935627,-77.07759,0.375,0.375,R.Principal,9
210349,-11.99074,-77.07035,4.25,4.25,R.Principal,9
210349,-11.93009,-77.07633,5.601999999999999,5.601999999999999,R.Principal,9
210349,-11.92774,-77.0764,5.26,5.26,R.Principal,9
210349,-11.9891947,-77.0680021,2.885,2.885,R.Principal,9
210349,-11.99039,-77.06847,2.0,2.0,R.Principal,9
210349,-11.93727,-77.0741,4.02,4.02,R.Principal,9
210349,-11.937461,-77.077518,3.725,3.725,R.Principal,9
210349,-11.933742,-77.07853,3.635,3.635,R.Principal,9
210349,-11.933698,-77.076168,0.54,0.54,R.Principal,9
210349,-11.99415,-77.06851,5.053999999999999,5.053999999999999,R.Principal,9
210349,-11.9887,-77.0706,34.825,34.825,R.Principal,0
210349,-11.989556,-77.069325,4.935,4.935,R.Principal,9
210349,-11.9461002,-77.0828857,4.04,4.04,R.Principal,9
210349,-11.945942,-77.077094,1.08,1.08,R.Principal,9
210349,-11.94854,-77.08053,0.63,0.63,R.Principal,9
210349,-11.994363,-77.071604,1.08,1.08,R.Principal,9
210349,-11.98798,-77.06582,20.3,20.3,R.Principal,9
210349,-11.9942,-77.0674,26.335,26.335,R.Principal,9
210349,-11.9908325,-77.0714082,6.0,6.0,R.Principal,9
210349,-11.98963,-77.06537,7.199999999999999,7.199999999999999,R.Principal,9
210349,-11.92821,-77.07626,8.415,8.415,R.Principal,9
210349,-11.992598,-77.066892,7.195,7.195,R.Principal,9
210349,-11.94797,-77.08016,2.135,2.135,R.Principal,9
210349,-11.93654,-77.07729,6.574999999999999,6.574999999999999,R.Principal,9
210349,-11.94819,-77.08005,3.1449999999999996,3.1449999999999996,R.Principal,9
210349,-11.9488,-77.08002,7.14,7.14,R.Principal,9
