Día,Interlocut,Cliente,Latitud,Longitud,Pedido,Real,T.Ruta,Cluster
lunes,210350,11603192,-12.0307473,-77.0612687,3.47,2.35,R.Principal,7
lunes,210372,11595668,-12.05515,-77.05111,2.96,2.96,R.Principal,7
lunes,210356,11550216,-12.054627,-76.980154,5.359999999999999,5.359999999999999,R.Principal,8
lunes,210356,11564413,-12.042827,-76.979597,8.9,8.9,R.Principal,8
lunes,210356,11639928,-12.044,-76.97906,3.63,3.63,R.Principal,8
lunes,210356,11620089,-12.040739,-76.983655,1.44,1.44,R.Principal,8
lunes,210356,6432331,-12.044593,-76.979524,2.84,2.84,R.Principal,8
lunes,210356,6341367,-12.053428,-76.976861,9.375,9.375,R.Principal,8
lunes,210368,11685218,-12.0603174,-76.9783488,47.3,47.3,R.Principal,8
lunes,210370,11675685,-12.0436949,-76.97959,37.35,0.0,R.Secundario,8
lunes,210356,11636477,-12.04236,-76.97811,3.5599999999999996,3.5599999999999996,R.Principal,8
lunes,210356,6392091,-12.0535142,-76.9803466,13.489999999999998,13.489999999999998,R.Principal,8
lunes,210356,6357370,-12.0419641,-76.9852335,1.2,1.2,R.Principal,8
lunes,210356,6412641,-12.040711,-76.983978,1.1600000000000001,1.1600000000000001,R.Principal,8
lunes,210356,11668495,-12.0542998,-76.979823,1.74,1.74,R.Principal,8
lunes,210356,6356524,-12.044181,-76.978609,20.5,20.5,R.Principal,8
lunes,210356,11672851,-12.0542359,-76.982446,3.3600000000000003,3.3600000000000003,R.Principal,8
lunes,210356,11681995,-12.0545398,-76.9797098,2.705,2.705,R.Principal,8
lunes,210356,11686301,-12.0534259,-76.9762445,4.085,4.085,R.Principal,8
lunes,210356,11677800,-12.0415123,-76.9793076,1.08,1.08,R.Principal,8
lunes,210356,11666278,-12.0453,-76.97998,1.68,1.68,R.Principal,8
lunes,210356,11667420,-12.051181,-76.9777406,11.239999999999998,11.239999999999998,R.Principal,8
lunes,210356,11675778,-12.0543738,-76.9806688,5.48,5.48,R.Principal,8
lunes,210356,11673364,-12.0533287,-76.9761283,5.84,5.84,R.Principal,8
lunes,210356,11671333,-12.0422388,-76.9840256,1.68,1.68,R.Principal,8
